ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
3932145,Pisco,-13.7,-76.2167,19.19,88,0,3.6,PE,2021-04-30 01:55:29
6145890,Shelburne,44.0787,-80.2041,8.22,100,100,6.23,CA,2021-04-30 02:05:21
1259385,Port Blair,11.6667,92.75,28.68,70,100,2.54,IN,2021-04-30 01:55:38
1283285,Jumla,29.2747,82.1838,14.51,49,68,0.36,NP,2021-04-30 02:05:29
3356832,Henties Bay,-22.116,14.2845,15.05,87,0,4.67,NA,2021-04-30 02:05:30
1608526,Nakhon Sawan,15.7,100.0833,28.33,97,96,2.32,TH,2021-04-30 02:05:30
3449749,Santa Vitória,-18.8386,-50.1214,20.05,38,100,2.4,BR,2021-04-30 02:05:31
2020871,Lebedinyy,58.5167,125.5167,-1.37,99,93,1.55,RU,2021-04-30 02:05:31
3352263,Warmbad,-28.45,18.7333,10.48,54,0,4.26,NA,2021-04-30 02:05:31
777019,Vardø,70.3705,31.1107,-0.79,94,100,9.74,NO,2021-04-30 02:05:32
1637001,Biak,-0.9131,122.8766,28.59,64,50,0.95,ID,2021-04-30 02:05:32
4031574,Provideniya,64.3833,-173.3,0.0,69,75,3.0,RU,2021-04-30 02:05:33
3893726,Constitución,-35.3333,-72.4167,12.66,90,52,1.2,CL,2021-04-30 02:05:33
2227402,Meïganga,6.5167,14.3,20.29,81,100,1.41,CM,2021-04-30 02:05:33
1568574,Qui Nhon,13.7667,109.2333,27.98,67,59,2.54,VN,2021-04-30 02:05:34
1626703,Soe,-9.8607,124.284,25.85,62,17,3.26,ID,2021-04-30 01:55:49
551736,Katunino,64.3862,40.6298,-2.0,93,40,2.0,RU,2021-04-30 02:05:34
4036284,Alofi,-19.0595,-169.9187,29.0,79,75,2.06,NU,2021-04-30 01:56:46
3991622,La Providencia,28.7167,-111.5833,29.38,26,1,4.02,MX,2021-04-30 02:05:35
1268610,Athmallik,20.7219,84.5348,30.49,43,0,1.95,IN,2021-04-30 02:05:35
2126199,Cherskiy,68.75,161.3,-6.26,84,85,5.26,RU,2021-04-30 02:05:36
3835869,Santiago del Estero,-27.7951,-64.2615,16.6,46,0,3.71,AR,2021-04-30 01:56:06
2013921,Ust-Kuyga,70.0167,135.6,-1.48,88,6,1.99,RU,2021-04-30 02:05:36
490914,Solomenskoye,44.2167,44.3528,9.59,93,60,2.16,RU,2021-04-30 02:05:37
962367,Richards Bay,-28.783,32.0377,21.98,82,100,5.86,ZA,2021-04-30 01:56:18
523426,Naro-Fominsk,55.3875,36.7331,6.74,61,0,3.0,RU,2021-04-30 02:05:38
2439155,Tanout,14.9709,8.8879,25.71,7,2,2.87,NE,2021-04-30 02:05:38
933995,Souillac,-20.5167,57.5167,25.0,83,75,3.6,MU,2021-04-30 01:55:58
605155,Kiruna,67.8557,20.2251,-4.0,86,90,2.06,SE,2021-04-30 02:05:39
2156643,Mount Gambier,-37.8333,140.7667,20.0,60,0,3.6,AU,2021-04-30 02:01:18
3430863,Mar del Plata,-38.0023,-57.5575,16.65,82,0,3.09,AR,2021-04-30 02:05:39
2017155,Saskylakh,71.9167,114.0833,0.83,94,100,3.63,RU,2021-04-30 02:05:40
602150,Umeå,63.8284,20.2597,0.07,64,77,3.09,SE,2021-04-30 02:05:40
2636790,Stornoway,58.2093,-6.3865,4.91,70,75,5.14,GB,2021-04-30 02:05:40
3448903,São João da Barra,-21.6403,-41.0511,20.06,86,59,5.06,BR,2021-04-30 01:57:23
934479,Grand Gaube,-20.0064,57.6608,23.33,91,24,1.34,MU,2021-04-30 02:05:41
